"Id","Country","Year","disaster","deaths"
656,"American Samoa",1970,"massMovements",0
657,"American Samoa",1970,"storms",0
658,"American Samoa",1970,"temperatures",0
659,"American Samoa",1970,"volcanic",0
660,"American Samoa",1970,"wildfires",0
661,"American Samoa",1980,"drought",0
662,"American Samoa",1980,"earthquakes",0
663,"American Samoa",1980,"floods",0
664,"American Samoa",1980,"fog",0
665,"American Samoa",1980,"glacialLake",0
666,"American Samoa",1980,"landslides",0
667,"American Samoa",1980,"massMovements",0
668,"American Samoa",1980,"storms",0
669,"American Samoa",1980,"temperatures",0
670,"American Samoa",1980,"volcanic",0
671,"American Samoa",1980,"wildfires",0
672,"American Samoa",1990,"drought",0
673,"American Samoa",1990,"earthquakes",0
674,"American Samoa",1990,"floods",0
675,"American Samoa",1990,"fog",0
676,"American Samoa",1990,"glacialLake",0
677,"American Samoa",1990,"landslides",0
678,"American Samoa",1990,"massMovements",0
679,"American Samoa",1990,"storms",0
680,"American Samoa",1990,"temperatures",0
681,"American Samoa",1990,"volcanic",0
682,"American Samoa",1990,"wildfires",0
683,"American Samoa",2000,"drought",0
684,"American Samoa",2000,"earthquakes",3.4
685,"American Samoa",2000,"floods",0.6
686,"American Samoa",2000,"fog",0
687,"American Samoa",2000,"glacialLake",0
688,"American Samoa",2000,"landslides",0
689,"American Samoa",2000,"massMovements",0
690,"American Samoa",2000,"storms",0
691,"American Samoa",2000,"temperatures",0
692,"American Samoa",2000,"volcanic",0
693,"American Samoa",2000,"wildfires",0
694,"American Samoa",2010,"drought",0
695,"American Samoa",2010,"earthquakes",0
696,"American Samoa",2010,"floods",0
697,"American Samoa",2010,"fog",0
698,"American Samoa",2010,"glacialLake",0
699,"American Samoa",2010,"landslides",0
700,"American Samoa",2010,"massMovements",0
701,"American Samoa",2010,"storms",0
702,"American Samoa",2010,"temperatures",0
703,"American Samoa",2010,"volcanic",0
704,"American Samoa",2010,"wildfires",0
705,"American Samoa",2020,"drought",0
706,"American Samoa",2020,"earthquakes",0
707,"American Samoa",2020,"floods",0
708,"American Samoa",2020,"fog",0
709,"American Samoa",2020,"glacialLake",0
710,"American Samoa",2020,"landslides",0
711,"American Samoa",2020,"massMovements",0
712,"American Samoa",2020,"storms",0
713,"American Samoa",2020,"temperatures",0
714,"American Samoa",2020,"volcanic",0
715,"American Samoa",2020,"wildfires",0
716,"Angola",1900,"drought",0
717,"Angola",1900,"earthquakes",0
718,"Angola",1900,"floods",0
719,"Angola",1900,"fog",0
720,"Angola",1900,"glacialLake",0
721,"Angola",1900,"landslides",0
722,"Angola",1900,"massMovements",0
723,"Angola",1900,"storms",0
724,"Angola",1900,"temperatures",0
725,"Angola",1900,"volcanic",0
726,"Angola",1900,"wildfires",0
727,"Angola",1910,"drought",0
728,"Angola",1910,"earthquakes",0
729,"Angola",1910,"floods",0
730,"Angola",1910,"fog",0
731,"Angola",1910,"glacialLake",0
732,"Angola",1910,"landslides",0
733,"Angola",1910,"massMovements",0
734,"Angola",1910,"storms",0
735,"Angola",1910,"temperatures",0
736,"Angola",1910,"volcanic",0
737,"Angola",1910,"wildfires",0
